Название вакансии,URL,Название компании,Описание
Senior Python Developer (Big Data),https://spb.hh.ru/vacancy/26086083?query=python, Adhack,"Разрабатывать и поддерживать системы сбора, обработки, хранения и анализа данных с применением методов машинного обучения. Проектировать архитектуру системы и отдельных... Опыт коммерческой разработки программного обеспечения с использованием Python не менее 2 лет. Уверенные знания структур данных и алгоритмов. "
Разработчик / Инженер-программист (Python),https://spb.hh.ru/vacancy/28912054?query=python, NGENIX,"Разработка высоконагруженных распределённых систем дистрибуции и кэширования данных. Разработка кластерных систем обработки массивов данных. Разработка web-сервисов (backend).  Высшее техническое образование. Опыт коммерческой разработки на Python под Unix - не менее 3-х лет, опыт работы с асинхронными фреймворками. "
"Разработчик Python (Django), Middle",https://spb.hh.ru/vacancy/29648188?query=python,ООО Колл-Тулз,"Разработка back-end части (в основном). Опыт разработки на Python. Базовые знания Linux. Понимание, как писать оптимальные запросы к БД. JQuery. Желание учиться и развиваться. "
Python developer,https://spb.hh.ru/vacancy/29571216?query=python, Burning Buttons,"...в себя несколько подпроектов: сбор данных, визуализация этих данных, интеграция с online travel agencies и другие. Технологии: Python (Scrapy, Flask). Общие навыки для работы: — Коммерческий опыт с Python 2.7/3.5+. — Знание HTML/CSS/JS. — Опыт работы с..."
Backend Developer (Node.js OR Python/Django),https://spb.hh.ru/vacancy/29383168?query=python, BeKitzur Inc,"Add new features for NodeJS and Django-based backend. Maintain and improve existing product features, bug fix. Build REST API... NodeJS OR Python (if you know Node.js, we will help you to learn Python, same if you know Python). "
Senior Python developer,https://spb.hh.ru/vacancy/29582718?query=python, B2Broker Санкт-Петербург, Имеет опыт коммерческой разработки на Python 3 от 6 лет. Опыт работы на позиции старший разработчик / TeamLead. Знает и умеет...
Junior Python Developer (Remote),https://spb.hh.ru/vacancy/29582119?query=python, Cloud Linux," Basic algorithms and data structures. Good knowledge of Python. Shell scripting is a plus. Knowledge of C, PHP, Perl and..."
Python Web Developer,https://spb.hh.ru/vacancy/28884674?query=python," Wargaming, Saint Petersburg (Lesta Studio)","Разработка высоконагруженных backend-сервисов. Информационный портал: Python 2.7, Django, Varnish, nginx, PostgreSQL, Redis. Различные микросервисы: Python 3.5/3... Знание Falcon, Flask либо других легковесными python веб-фреймворков. Опыт работы с asyncio Python 3.5. Опыт участия в высоконагруженных..."
DevOps / Python engineer,https://spb.hh.ru/vacancy/29491672?query=python, Electrolux,"Build and maintain the test automation framework, manage deployments and operational tasks. Improve the tools for continuous integration, automated testing... Experience of programming in Python, at least during studies. Understanding of CI/CD process. Analytical thinking to be able to..."
Python web-developer,https://spb.hh.ru/vacancy/29695657?query=python,ООО АвтоТрансИнфо,"Задачи по системе электронного документооборота, мессенджеру, информационному изданию и по плану еще много интеграционных проектов впереди. Разработка ведется в автоматизированной... Уверенное владение python (3.4+). Знакомство с NoSQL (CAP-теорема не пустой звук). Опыт работы с системами контроля версий..."
Middle Full Stack Python разработчик,https://spb.hh.ru/vacancy/29793612?query=python, Радиофид,Разработка клиент-серверного ПО для мониторинга/управления сетевым оборудованием. Vanila JS. CSS3. VueJS (VueX)/ ReactJS (Redux). GIT. Micropython. Mysql. Postgresql. Sass/SCSS. AngularJS. KnockoutJS.
Python-разработчик (full stack),https://spb.hh.ru/vacancy/29401196?query=python, Akvelon, Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
Senior Python Developer,https://spb.hh.ru/vacancy/29662635?query=python, Investex Ltd,"Знаком с методологиями управления проектами (Agile, Scrum, Kanban etc.). Готов работать в режиме высокой производительности и укладываться в рамки спринта. Имеет опыт работы в продакшене на коммерческих проектах со стэком технологий: Python/Django, Git, PostgreSQL, Docker, Javascript. Имеет опыт работы..."
Python Backend Middle разработчик,https://spb.hh.ru/vacancy/29694763?query=python,ООО ДИДЖИТАЛ ТРЕЙД СОЛЮШНС,"Ищем в команду Python Backend Middle разработчика (Санкт-Петербург) на поддержку и развитие существующего проекта. Занимает лидирующую позицию в своей сфере. Что мы хотим от вас: Python 2.7, 3.x+, Flask, SQL. "
Full Stack Developer / Разработчик (Python),https://spb.hh.ru/vacancy/27379478?query=python, Adhack,"Участвовать в разработке систем сбора, обработки, хранения, анализа и визуализации данных. Отвечать за клиентскую часть всех продуктов. Участвовать в проектировании... ...используется в рекламных кампаниях с бюджетами в миллионы долларов. Английский язык на уровне, достаточном для чтения технической документации. Знание Python."
Web Developer (Python),https://spb.hh.ru/vacancy/29664757?query=python,ООО Вайт Код,"Разрабатывать новые фичи и улучшать имеющиеся, заниматься расширением функциональности высоконагруженных систем. Проектирование архитектуры, разработка и развитие веб-проектов.  Хорошие знания Python (Django). Опыт разработки высоконагруженных систем. Большой опыт работы с базами данных и NoSQL (postgresql, redis, memcached). "
